instruction,type,opcode,function,manual
ADD    ,R,000000,100000,0
ADDI   ,I,001000,000000,0 
ADDU   ,R,000000,100001,0
ADDIU  ,I,001001,000000,0
AND    ,R,000000,100100,0
ANDI   ,I,001100,000000,0
DIV    ,R,000000,011010,0
DIVU   ,R,000000,011011,0
MUL    ,R,011100,000010,0
MULT   ,R,000000,011000,0
MULTU  ,R,000000,011001,0
NOR    ,R,000000,100111,0
OR     ,R,000000,100101,0
ORI    ,I,001101,000000,0
SLL    ,R,000000,000000,0
SLLV   ,R,000000,000100,0
SRA    ,R,000000,000011,0
SRAV   ,R,000000,000111,0
SRL    ,R,000000,000010,0
SRLV   ,R,000000,000110,0
SUB    ,R,000000,100010,0
SUBU   ,R,000000,100011,0
XOR    ,R,000000,100110,0
XORI   ,I,001110,000000,0
LUI    ,I,001111,000000,0
SLT    ,R,000000,101010,0
SLTI   ,I,001010,000000,0
SLTU   ,R,000000,101001,0
SLTIU  ,I,001001,000000,0
BEQ    ,I,000100,000000,0
BGEZ   ,I,000001,000000,0
BGEZAL ,I,000001,000000,0
BGTZ   ,I,000111,000000,0
BLEZ   ,I,000110,000000,0
BLTZAL ,I,000001,000000,0
BLTZ   ,I,000001,000000,0
BNE    ,I,000101,000000,0
J      ,J,000010,000000,0
JAL    ,J,000011,000000,0
JALR   ,R,000000,001001,0
JR     ,R,000000,001000,0
LB     ,I,100000,000000,0
LBU    ,I,100100,000000,0
LH     ,I,100001,000000,0
LHU    ,I,100101,000000,0
LW     ,I,100011,000000,0
LWL    ,I,100010,000000,0
LWR    ,I,100110,000000,0
SB     ,I,101000,000000,0
SH     ,I,101001,000000,0
SW     ,I,101011,000000,0
SWL    ,I,000000,000000,0
SWR    ,I,000000,000000,0
MFHI   ,R,000000,010000,0
MFLO   ,R,000000,010010,0
MTHI   ,R,000000,010001,0
MTLO   ,R,000000,010011,0
